"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_100k_sq","d_CVD_costs_100k_sq","CVD_costs_sum","d_lag_log_CVD_costs_100k","lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","lag_CVD_costs_100k","lag_CVD_costs_100k_sq","d_lag_CVD_costs_100k_sq","d_log_cancer_mort_100k","log_cancer_mort_100k","d_cancer_mort_100k","cancer_mort_100k","d_log_cancer_costs_100k","log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_100k","cancer_costs_sum","cancer_deaths","d_lag_log_cancer_costs_100k","lag_log_cancer_costs_100k","d_lag_cancer_costs_100k","lag_cancer_costs_100k"
"45","3","Male","50-54","HH",64992,-0.0859271309764384,4.3425058765116,-6.89999999999999,76.9,50,0.0817554154719708,16.4048365300727,1045717.77911917,13320789.9926145,177443446027338,26766048180813.4,8657447.832,0.00376902943239088,16.3876773453838,49259.4086489063,13094165.9989364,171457183207701,1287595258376,-0.215777035497447,4.8736694390231,-31.5,130.8,0.139203272264018,15.8499021763788,993796.547547404,7647598.05206795,4970326.926,85,-0.0030679640845932,15.8536724160307,-23587.3466482135,7676485.75204267
"45","4","Male","50-54","HH",71516,-0.0183732202566196,4.32413265625498,-1.40000000000001,75.5,54,-0.015905637978392,16.3889308920943,-210199.552712914,13110590.4399016,171887581682838,-5555864344499.72,9376169.859,0.141632027620695,16.5293093730045,1992311.53496389,15086477.5339003,227601804380877,56144621173176,-0.0279087881170765,4.84576065090602,-3.60000000000001,127.2,0.0221907941770532,15.8720929705559,171603.238552334,7819201.29062028,5591979.995,91,-0.112897387047065,15.7407750289837,-819523.85822516,6856961.89381751
"46","1","Male","55-59","HH",47945,NA,5.21221466749463,NA,183.5,88,NA,16.7785220635223,NA,19356175.3008656,374661522277839,NA,9280318.248,NA,16.7025664553301,NA,17940413.3555514,321858431368049,NA,NA,5.85306417737196,NA,348.3,NA,16.3626685346148,NA,12770757.3678173,6122939.62,167,NA,16.3567052401848,NA,12694828.200539
"46","2","Male","55-59","HH",45898,0.171821574455949,5.38403624195057,34.4,217.9,100,0.119216173005789,16.8977382365281,2450751.85064429,21806927.1515099,475542071791258,100880549513420,10008943.424,0.147058021025344,16.8496244763555,2842141.34339727,20782554.6989487,431914579814795,110056148446747,0.0131205533092693,5.86618473068122,4.59999999999997,352.9,0.101700035731906,16.4643685703467,1367126.76656765,14137884.1343849,6489006.06,162,0.0744758578576352,16.4311810980425,981555.666934725,13676383.8674737
"46","3","Male","55-59","HH",50491,-0.30636554651816,5.07767069543241,-57.5,160.4,81,0.110166854939472,17.0079050914676,2539729.4328319,24346656.5843418,592759686835872,117217615044614,12292870.376,0.190113675100857,17.0397381514563,4351598.17402164,25134152.8729704,631725640641844,199811060827049,-0.120301080006388,5.74588365067484,-40,312.9,-0.0116624532093645,16.4527061171373,-163924.672302591,13973959.4620824,7055591.872,158,0.0181852596696821,16.4493663577122,250983.777825337,13927367.6452991
"46","4","Male","55-59","HH",57049,-0.121843637831153,4.95582705760126,-18.4,142,81,-0.0705529819085662,16.937352109559,-1658534.04056361,22688122.5437782,514750904561495,-78008782274377.6,12943347.03,-0.100434966716389,16.9393031847399,-2401720.88492305,22732431.9880473,516763464091196,-114962176550648,-0.30173583591526,5.44414781475958,-81.5,231.4,-0.188095108791337,16.264611008346,-2396032.34854837,11577927.113534,6605091.639,132,-0.0853419517153036,16.3640244059969,-1139283.02893333,12788084.6163657
"47","1","Male","60-64","HH",44934,NA,5.67504000579055,NA,291.5,131,NA,17.2001118258411,NA,29506225.290426,870617330889373,NA,13258327.272,NA,17.148747791965,NA,28028931.2035144,785620984411345,NA,NA,6.33327962813969,NA,563,NA,16.8376521673341,NA,20535223.0515868,9227297.126,253,NA,16.8353003900543,NA,20486985.5247706
"47","2","Male","60-64","HH",43732,0.0573299257175668,5.73236993150811,17.2,308.7,135,0.0523450078811898,17.2524568337223,1585641.77259426,31091867.0630202,966704197464522,96086866575149.2,13597095.304,0.114473732283617,17.2632215242486,3399438.10816419,31428369.3116786,987742397591262,202121413179918,0.0390157461180944,6.37229537425779,22.4,585.4,0.0123674038652872,16.8500195711994,255544.349858392,20790767.4014452,9092218.4,256,-0.0529078661678035,16.7823925238865,-1055747.74513293,19431237.7796376
"47","3","Male","60-64","HH",42255,-0.188756209004734,5.54361372250338,-53.1,255.6,108,0.10421568072271,17.356672514445,3415124.46460965,34506991.5276299,1190732464287920,224028266823398,14580929.27,0.0323309855650784,17.2955525098137,1032714.53812173,32461083.8498003,1053721964703769,65979567112506.4,-0.130850621882034,6.24144475237575,-71.8,513.6,0.113438485522732,16.9634580567221,2497448.99898082,23288216.400426,9840435.84,217,0.047996136074147,16.8303886599606,955367.922905393,20386605.702543
"47","4","Male","60-64","HH",43627,0.0731573751631922,5.61677109766657,19.4,275,120,0.0652028989040403,17.4218754133491,2324928.28349627,36831919.8111261,1356590316973226,165857852685307,16068661.656,0.11202016631383,17.4075726761275,3847788.11540237,36308871.9652027,1318334183385484,264612218681715,-0.0139204286870136,6.22752432368874,-7.10000000000002,506.5,-0.149061024833252,16.8143970318889,-3225032.79852808,20063183.6018979,8752965.11,221,0.0270522821229804,16.8574409420836,559031.65764644,20945637.3601895
