"ID","year","region","gender","agegroup","population","d_log_CVD_mort_100k","d_CVD_mort_100k","d_log_CVD_costs_100k","d_CVD_costs_100k","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","d_log_cancer_costs_100k","d_cancer_costs_100k","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"401","2013","BB","Male","80-84",29467,-0.00824524250221792,-31.3000000000002,0.0172952139285023,1771285.88644446,0.0768897416119572,7514164.28283207,0.0412387480165979,90.9000000000001,0.0472761065183427,1621122.88245679,-0.0471450436681167,-1616521.89748414
"401","2014","BB","Male","80-84",31154,-0.0783798490462839,-285,0.00554776524390022,574693.431517631,0.0172952139285023,1771285.88644446,-0.0333040290784448,-73.6999999999998,-0.025213531070083,-874117.454819612,0.0472761065183427,1621122.88245679
"401","2015","BB","Male","80-84",33977,-0.0261727519421378,-90.3000000000002,0.0501556402216394,5342920.84720261,0.00554776524390022,574693.431517631,-0.0364033833463759,-77.8000000000002,0.0712431666933497,2527870.85619563,-0.025213531070083,-874117.454819612
"401","2016","BB","Male","80-84",37026,-0.0781869773000405,-256.1,0.0216873212147455,2394574.56776133,0.0501556402216394,5342920.84720261,-0.0623774079424226,-126.9,0.0571285536469297,2161263.28636017,0.0712431666933497,2527870.85619563
"401","2017","BB","Male","80-84",40150,-0.0357198147001956,-110.5,-0.00455669598210662,-507439.464743406,0.0216873212147455,2394574.56776133,-0.00835290585394688,-16.3999999999999,-0.0273365741383671,-1049596.1924157,0.0571285536469297,2161263.28636017
"402","2007","BB","Male","85-89",6761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","2008","BB","Male","85-89",7501,0.0278056335278869,225.200000000001,-0.0258102333351715,-2134002.76821148,NA,NA,-0.108959084699283,-300.8,0.031911449501532,819403.092096724,NA,NA
"402","2009","BB","Male","85-89",8060,0.0771666760753114,658.799999999999,0.0965257928143188,8271011.92241034,-0.0258102333351715,-2134002.76821148,-0.0221337003460098,-57.1999999999998,0.00314391294445215,82151.5015202276,0.031911449501532,819403.092096724
"402","2010","BB","Male","85-89",8538,-0.0660381607982163,-566.9,0.0599753024218295,5556073.69929907,0.0965257928143188,8271011.92241034,0.171351782207749,477.7,0.182428599134532,5237648.5718205,0.00314391294445215,82151.5015202276
"402","2011","BB","Male","85-89",9155,-0.162828533932762,-1247.8,0.0515954954252749,5053796.05115256,0.0599753024218295,5556073.69929907,-0.117206310614651,-335.5,-0.00732443114342018,-229213.204199456,0.182428599134532,5237648.5718205
"402","2012","BB","Male","85-89",9995,0.0150918131029769,107.3,-0.00618323353310757,-619491.34394066,0.0515954954252749,5053796.05115256,0.204950894924715,613.7,-0.0148209871934029,-458708.778321434,-0.00732443114342018,-229213.204199456
"402","2013","BB","Male","85-89",11231,-0.00817166346671705,-58.3000000000002,0.0280464260977702,2840914.70465797,-0.00618323353310757,-619491.34394066,-0.116606085631428,-364.5,-0.102173690285934,-2983862.7604079,-0.0148209871934029,-458708.778321434
"402","2014","BB","Male","85-89",12769,-0.0878241609087418,-597.400000000001,0.0618494833252221,6553787.83059508,0.0280464260977702,2840914.70465797,-0.0360660851082475,-104.4,0.118598445378261,3492616.9309821,-0.102173690285934,-2983862.7604079
"402","2015","BB","Male","85-89",14376,-0.0255231022522775,-164,0.000911371557020146,99634.767965883,0.0618494833252221,6553787.83059508,-0.0675165451616548,-185.6,-0.0366228215901074,-1123037.64711074,0.118598445378261,3492616.9309821
"402","2016","BB","Male","85-89",15737,-0.0175236642909038,-110.2,0.0512059101018139,5746456.02943453,0.000911371557020146,99634.767965883,0.0185680738232152,49.8000000000002,0.110422554599154,3514973.55718594,-0.0366228215901074,-1123037.64711074
"402","2017","BB","Male","85-89",16794,0.0124508403716899,78.1000000000004,0.044821213187916,5277211.94566807,0.0512059101018139,5746456.02943453,-0.0720584129997128,-188.2,-0.022115264739206,-735394.41860437,0.110422554599154,3514973.55718594
"403","2007","BB","Female","<1",8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","2008","BB","Female","<1",9213,-0.0271509890659507,-0.299999999999999,0.344192743671345,308054.026301906,NA,NA,NA,0,NA,NA,NA,NA
"403","2009","BB","Female","<1",9174,NA,-10.9,-0.659893488374806,-511040.511804168,0.344192743671345,308054.026301906,NA,10.9,NA,NA,NA,NA
"403","2010","BB","Female","<1",9120,NA,0,1.31118429644607,1482162.57730658,-0.659893488374806,-511040.511804168,NA,-10.9,NA,NA,NA,NA
"403","2011","BB","Female","<1",9073,NA,0,0.567018928723591,1548112.82714667,1.31118429644607,1482162.57730658,NA,11,NA,NA,NA,NA
"403","2012","BB","Female","<1",9087,NA,11,-1.43665592865507,-2726735.20266288,0.567018928723591,1548112.82714667,0,0,NA,NA,NA,NA
"403","2013","BB","Female","<1",9105,NA,-11,0.816029073354411,1072717.43086463,-1.43665592865507,-2726735.20266288,NA,-11,NA,NA,NA,NA
"403","2014","BB","Female","<1",9259,NA,21.6,-2.37270336324508,-1743782.61321057,0.816029073354411,1072717.43086463,NA,0,2.14903321790521,2002238.30058161,NA,NA
"403","2015","BB","Female","<1",9469,NA,-21.6,1.46442080508167,596127.255453363,-2.37270336324508,-1743782.61321057,NA,10.6,-0.464708223565452,-842418.438138488,2.14903321790521,2002238.30058161
"403","2016","BB","Female","<1",9894,NA,0,0.352876735578491,328119.856311734,1.46442080508167,596127.255453363,NA,-10.6,-0.195567931486544,-252964.207965294,-0.464708223565452,-842418.438138488
"403","2017","BB","Female","<1",10204,NA,9.8,-0.689638351689531,-549826.289685959,0.352876735578491,328119.856311734,NA,9.8,-1.03194318399488,-753835.607355649,-0.195567931486544,-252964.207965294
"404","2007","BB","Female","1-14",123596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","2008","BB","Female","1-14",126050,NA,0,-0.242765265063765,-82886.4110413785,NA,NA,0,0,0.0300307981166661,25061.3106410763,NA,NA
"404","2009","BB","Female","1-14",129032,NA,0,0.127887992436559,41153.9241936707,-0.242765265063765,-82886.4110413785,-1.38629436111989,-2.4,NA,NA,0.0300307981166661,25061.3106410763
