"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_sum","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","cancer_deaths","d_log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_sum","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"20","2015","Male","2","HB",47700,1.36559951201281,6.24547070784409,8.38574423480084,4,0.216828249952929,141412.15964574,725444.385744235,346036.972,-0.222603069858934,-145613.589900811,-0.308376921558861,-2.27178593172635,3,0.221161143145757,323076.671764287,776702.94,-0.110652684749523,-152721.059047325
"20","2016","Male","2","HB",48677,-1.40656960249438,-6.33138591362246,2.05435832117838,1,-0.334654801454711,-206327.219526103,519117.166218132,252690.663,0.216828249952929,141412.15964574,-0.425740349482656,-2.18059153374387,2,-0.177988502372733,-265492.2954405,663377.825,0.221161143145757,323076.671764287
"20","2017","Male","2","HB",49183,1.08827089260263,4.04531026349519,6.09966858467357,3,0.534025107428601,366384.836506387,885502.002724519,435516.45,-0.334654801454711,-206327.219526103,0.395123712042685,1.99095194231681,3,-0.0540228519003083,-71669.8589343112,635024.286,-0.177988502372733,-265492.2954405
"21","2007","Male","2","NW",1043307,NA,NA,7.95547235856752,83,NA,NA,804532.219950599,8393740.968,NA,NA,NA,NA,65,NA,NA,8342014.201,NA,NA
"21","2008","Male","2","NW",1054293,-0.579167930240021,-3.49750858568844,4.45796377287908,47,0.12548461662271,107564.130494675,912096.350445275,9616167.976,NA,NA,-0.356220797560023,-1.86707571662944,46,0.0781276263464701,64973.9216751683,9114870.937,NA,NA
"21","2009","Male","2","NW",1063031,-0.274882524833182,-1.0714209533376,3.38654281954148,36,0.0731264019645668,69197.5759783199,981293.926423594,10431458.639,0.12548461662271,107564.130494675,0.114348460513099,0.528559481720821,52,0.0193401055081281,16883.1880805333,9369888.68,0.0781276263464701,64973.9216751683
"21","2010","Male","2","NW",1073805,0.483934351775059,2.1079370906843,5.49447991022579,59,-0.0478802920740904,-45877.560044224,935416.36637937,10044547.713,0.0731264019645668,69197.5759783199,0.243364747134988,1.34782117378123,67,0.213425009419575,209701.921155896,11716643.81,0.0193401055081281,16883.1880805333
"21","2011","Male","2","NW",1042145,-0.334038050965532,-1.56028649184351,3.93419341838228,41,-0.0695187066581369,-62820.053582207,872596.312797163,9093718.844,-0.0478802920740904,-45877.560044224,0.04474241202102,0.285509582951414,68,-0.0670429000785422,-70754.4483559347,10633827.065,0.213425009419575,209701.921155896
"21","2012","Male","2","NW",1054213,0.0591041393453409,0.239536178957159,4.17372959733944,44,0.284934246000175,287672.834993653,1160269.14779082,12231708.191,-0.0695187066581369,-62820.053582207,-0.120147268871408,-0.738696776526522,61,-0.0475361103209408,-47370.0279207879,10257585.391,-0.0670429000785422,-70754.4483559347
"21","2013","Male","2","NW",1068628,0.262672310910763,1.25379054998966,5.4275201473291,58,-0.145010058213522,-156620.563905685,1003648.58388513,10725269.789,0.284934246000175,287672.834993653,-0.154163016338585,-0.826676462310138,53,0.0589621086008432,59095.7361868602,11029358.195,-0.0475361103209408,-47370.0279207879
"21","2014","Male","2","NW",1085567,-0.29198022506182,-1.37433872232263,4.05318142500647,44,0.112401379391038,119395.941234,1123044.52511913,12191400.76,-0.145010058213522,-156620.563905685,0.00296528457849043,0.0147285421429508,54,-0.0204473286446323,-20889.4859992645,10977417.018,0.0589621086008432,59095.7361868602
"21","2015","Male","2","NW",1126279,0.256530962350831,1.18530743965317,5.23848886465964,59,-0.140814003959717,-147510.929979739,975533.595139393,10987230.02,0.112401379391038,119395.941234,0.13308218915877,0.708069577353983,64,0.105820768770597,112874.475839233,12660384.412,-0.0204473286446323,-20889.4859992645
"21","2016","Male","2","NW",1153767,-0.317460772498546,-1.42489391871302,3.81359494594663,44,0.134684289220836,140648.04266096,1116181.63780035,12878135.397,-0.140814003959717,-147510.929979739,-0.231752327289332,-1.17545275374319,52,-0.00144978566745912,-1628.50812257617,12950584.955,0.105820768770597,112874.475839233
"21","2017","Male","2","NW",1151276,-0.73750584738728,-1.98953190632798,1.82406303961865,21,-0.0657105657252668,-70987.0851474705,1045194.55265288,12033074.038,0.134684289220836,140648.04266096,0.0939688980606814,0.444052405183829,57,-0.107246026918867,-114149.080041295,11608453.488,-0.00144978566745912,-1628.50812257617
"22","2007","Male","2","HE",345750,NA,NA,3.75994215473608,13,NA,NA,609328.834128706,2106754.444,NA,NA,NA,NA,13,NA,NA,2469486.84,NA,NA
"22","2008","Male","2","HE",349458,-0.496175228015684,-1.47068278737291,2.28925936736317,8,0.193442910124197,130043.027153623,739371.861282329,2583794.119,NA,NA,-0.0106674122339834,-0.0398956827709234,13,0.256366273049062,208719.6340968,3225358.34,NA,NA
"22","2009","Male","2","HE",353159,0.307918733445768,0.825484982915312,3.11474435027849,11,0.114527797544945,89718.1995684498,829090.060850778,2928006.168,0.193442910124197,130043.027153623,0.314887402761861,1.37680791939964,18,0.0512848173000222,48568.6181310328,3431041.544,0.256366273049062,208719.6340968
"22","2010","Male","2","HE",357062,-0.617126859287328,-1.43436391214729,1.68038043813119,6,0.215798546089612,199688.313773237,1028778.37462401,3673376.64,0.114527797544945,89718.1995684498,-0.193312612510967,-0.895903296036813,15,-0.135144172859901,-122811.005011174,3030448.884,0.0512848173000222,48568.6181310328
"22","2011","Male","2","HE",353612,0.297391241781174,0.581986223633679,2.26236666176487,8,-0.159977131321739,-152091.224018266,876687.150605749,3100070.967,0.215798546089612,199688.313773237,0.297391241781174,1.4549655590842,20,0.0559054009886673,48799.273323508,3173728.205,-0.135144172859901,-122811.005011174
"22","2012","Male","2","HE",358586,-0.301650325307581,-0.589127885013967,1.6732387767509,6,0.0332243334380653,29616.6180857228,906303.768691472,3249878.432,-0.159977131321739,-152091.224018266,0.125793689519359,0.758165323132955,23,-0.0705120756259294,-61106.1187774613,2999252.719,0.0559054009886673,48799.273323508
"22","2013","Male","2","HE",364233,0.677521927511083,1.62135561749673,3.29459439424764,12,0.0364240634950885,33619.8346064176,939923.603297889,3423511.938,0.0332243334380653,29616.6180857228,-0.260747711081847,-1.47219038617368,18,0.233884728941572,220393.325232457,3849230.068,-0.0705120756259294,-61106.1187774613
"22","2014","Male","2","HE",372169,-1.40784864056092,-2.48850898681177,0.806085407435869,3,-0.0921549540176159,-82747.2777576103,857176.325540279,3190144.559,0.0364240634950885,33619.8346064176,-0.203875836234981,-0.911464554192111,15,-0.298899189129015,-273042.124034634,2916919.916,0.233884728941572,220393.325232457
"22","2015","Male","2","HE",385203,1.0641898727974,1.53034499419652,2.33643040163239,9,0.00706870412685134,6080.5914619253,863256.917002204,3325291.542,-0.0921549540176159,-82747.2777576103,-0.344577344174551,-1.17478987962865,11,0.297657685203578,271730.911432854,4065791.103,-0.298899189129015,-273042.124034634
"22","2016","Male","2","HE",396473,-0.146620510518435,-0.318638521731359,2.01779187990103,8,0.047020156815444,41559.8952397392,904816.812241943,3587354.36,0.00706870412685134,6080.5914619253,0.345855974579359,1.17994660225136,16,-0.16603371320495,-161471.785939416,3544553.142,0.297657685203578,271730.911432854
"22","2017","Male","2","HE",399990,0.744940198498591,2.23231437275529,4.25010625265632,17,0.0117364770680872,10681.9232264435,915498.735468387,3661903.392,0.047020156815444,41559.8952397392,0.214311947436421,0.964541243323023,20,0.0386057091567729,35189.2087875225,3716749.188,-0.16603371320495,-161471.785939416
"23","2007","Male","2","RP",233020,NA,NA,1.71659085057077,4,NA,NA,796218.840872028,1855349.143,NA,NA,NA,NA,13,NA,NA,2263071.185,NA,NA
"23","2008","Male","2","RP",235150,1.16955567474238,3.81179528593785,5.52838613650861,13,0.0275226667003867,22218.4183242297,818437.259196258,1924555.215,NA,NA,0.06500865055446,0.374726344192745,14,0.155739434758164,163666.884617829,2668620.25,NA,NA
"23","2009","Male","2","RP",236399,-0.00529744701349588,-0.0292088980262157,5.4991772384824,13,0.0139468357236172,11494.5801939259,829931.839390184,1961950.569,0.0275226667003867,22218.4183242297,0.491139439300395,3.77566696722881,23,0.0218193195789098,25033.9636576169,2741974.675,0.155739434758164,163666.884617829
"23","2010","Male","2","RP",238111,-0.78040578433062,-2.97934405143938,2.51983318704302,6,0.0311266955567788,26239.2883611592,856171.127751343,2038637.634,0.0139468357236172,11494.5801939259,-0.945485534690069,-5.94956379521202,9,0.21740814449983,281681.398370835,3432546.432,0.0218193195789098,25033.9636576169
"23","2011","Male","2","RP",238654,0.770912035476737,2.9273832853396,5.44721647238261,13,0.0707988928174483,62813.2881813464,918984.415932689,2193193.068,0.0311266955567788,26239.2883611592,0.633710913963252,3.34353329870504,17,-0.196431539836201,-257093.807854029,2826809.523,0.21740814449983,281681.398370835
"23","2012","Male","2","RP",239926,-2.57026509566726,-5.03042129386924,0.416795178513375,1,0.162325756529658,161964.890103339,1080949.30603603,2593478.432,0.0707988928174483,62813.2881813464,-0.130478881159733,-0.871355401568946,15,-0.277448332038988,-286982.139878457,2153331.343,-0.196431539836201,-257093.807854029
"23","2013","Male","2","RP",241937,2.07109472245771,2.88985076650537,3.30664594501874,8,-0.151751103657373,-152195.385387264,928753.920648764,2246999.373,0.162325756529658,161964.890103339,-0.519172442988115,-2.53195098955454,9,0.227892322521072,229714.716548751,2727144.924,-0.277448332038988,-286982.139878457
"23","2014","Male","2","RP",245072,-0.300556755687692,-0.858385841865386,2.44826010315336,6,0.131312444067834,130326.47735672,1059080.39800548,2595509.513,-0.151751103657373,-152195.385387264,0.428958069043128,1.99263021921175,14,-0.119421008245563,-126885.721940066,2451521.67,0.227892322521072,229714.716548751
"23","2015","Male","2","RP",251005,-0.206242371123859,-0.45626791176275,1.99199219139061,5,-0.208853897394127,-199622.048968612,859458.349036872,2157283.429,0.131312444067834,130326.47735672,0.109610578294619,0.661768105092113,16,0.157837882555899,171032.27274398,2940170.634,-0.119421008245563,-126885.721940066
"23","2016","Male","2","RP",255124,0.166044714570961,0.359805365875661,2.35179755726627,6,0.278331212128441,275820.493800337,1135278.84283721,2896368.795,-0.208853897394127,-199622.048968612,-0.149808234847516,-0.886847378828653,14,-0.0181558924752512,-21075.1768657637,2934651.093,0.157837882555899,171032.27274398
"23","2017","Male","2","RP",254713,0.00161228035246985,0.00379481532562709,2.3555923725919,6,-0.00162071972661515,-1838.47858410771,1133440.3642531,2887019.955,0.278331212128441,275820.493800337,-0.152538399474788,-0.776342888437503,12,0.0858042541643744,103057.441163695,3192424.125,-0.0181558924752512,-21075.1768657637
"24","2007","Male","2","BW",645207,NA,NA,2.63481332347603,17,NA,NA,706931.33831468,4561170.48,NA,NA,NA,NA,35,NA,NA,5262299.208,NA,NA
"24","2008","Male","2","BW",652919,0.332958603129512,1.04098719695606,3.67580052043209,24,-0.0887251562011144,-60020.5576512291,646910.780663451,4223803.4,NA,NA,0.21695968926663,1.3143519548121,44,0.211223778900672,191819.599763341,6577624.784,NA,NA
